Name,Brand,SKU,MPN,base_price,MSRP,Image
"Pro-Style® 30"" Dual -Fuel Range Pro Style Stainless",Jennair,JDS1450FP,JDS1450FP,2599.99,,https://images.webfronts.com/cache/megmhcfemsja.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with 6 Burner Gas Cooktop and Electric Convection Oven [Color: Champagne Bronze],Zline Kitchen And Bath,RAZWM36CB,RAZWM36CB,3464.90,3849.95,https://images.webfronts.com/cache/frnzigaafrgy.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 30 in. 4.0 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel with White Matte Door and Champagne Bronze Accents (RASZ-WM-30-CB) [Color: Gold],Zline Kitchen And Bath,RASZWM30G,RASZWM30G,3194.90,3549.95,https://images.webfronts.com/cache/frggddaqxeow.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"Prestige 36"" Dual Fuel Double Oven Range - Stainless Steel",Verona,VPFSGE365DSS,VPFSGE365DSS,3699.99,4949.0,https://images.webfronts.com/cache/megkmebbtcsr.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
"30"" Gas Range with No Preheat and Air Fry",Frigidaire,PCFG3080AF,PCFG3080AF,2699.99,3349.99,https://images.webfronts.com/cache/frztiasnyoex.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE Autograph Edition 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel [Color: Champagne Bronze Accents],Zline Kitchen And Bath,RAZ24CB,RAZ24CB,2879.90,3199.95,https://images.webfronts.com/cache/frrsbbrdgeng.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE Autograph Edition 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel [Color: Champagne Bronze Accents],Zline Kitchen And Bath,RABZ24CB,RABZ24CB,3699.95,,https://images.webfronts.com/cache/fryrhcylfeah.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100
ZLINE 36 in. 4.6 cu. ft. Legacy Dual Fuel Range with 6 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel and Blue Matte Door (RAS-BM-36) [Color: DuraSnow Stainless Steel with Brass Burners],Zline Kitchen And Bath,RASSNBR36,RASSNBR36,3149.96,3499.95,https://images.webfronts.com/cache/frmcadrnhpfv.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE 30 in. 4.0 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Stainless Steel with Satin Stainless Steel Door (RA-SN-30) [Color: Stainless Steel With Brass Burners],Zline Kitchen And Bath,RABR30,RABR30,2429.90,2699.95,https://images.webfronts.com/cache/frwwsguubcod.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
ZLINE Autograph Edition 24 in. 2.8 cu. ft. Legacy Dual Fuel Range with 4 Burner Gas Cooktop and Electric Convection Oven in Satin Stainless Steel with White Matte Door and Champagne Bronze Accents (RASZ-WM-24-CB) [Color: Matte Black],Zline Kitchen And Bath,RASZWM24MB,RASZWM24MB,3499.95,,https://images.webfronts.com/cache/frhlaczylhgf.jpg?imgeng=/w_1920/h_1920/m_letterbox_ffffff_100/cmpr_99
